Country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Russia,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,7
Rwanda,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"Saint Kitts and Nevis",-,-,-,-,-,-,-,-,-,-,,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
"Saint Lucia",-,-,-,-,-,-,-,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Samoa,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"San Marino",2,2,2,2,2,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Saudi Arabia",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Senegal,6,6,6,6,6,5,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2
Serbia,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,2,2,2,2,2,2,2,3
Seychelles,-,-,-,-,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Sierra Leone",4,6,6,6,6,5,5,5,5,5,5,5,4,5,5,5,5,6,6,6,7,7,7,7,4,7,3,3,4,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3
Singapore,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4
Slovakia,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Slovenia,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Solomon Islands",-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3
Somalia,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7
"South Africa",2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
"South Korea",5,4,5,5,5,5,4,4,5,5,5,5,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2
"South Sudan",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,7,7,7
Spain,5,5,5,5,5,2,2,2,2,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Sri Lanka",2,2,2,2,2,2,2,2,2,2,2.5,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,5,5,4,3
Sudan,6,6,6,6,6,6,5,5,5,5,5,5,6,6,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Suriname,-,-,-,2,2,2,2,2,7,7,7,7,7,6,6,4,3,3,6,4,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Swaziland,4,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Sweden,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Syria,7,7,6,6,6,5,5,5,5,5,5.5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Taiwan,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,4,3,3,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1
Tajikistan,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,5,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7
Tanzania,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
Thailand,7,6,5,2,6,6,5,4,3,3,3,3,3,3,3,3,3,2,2,6,3,3,3,3,3,3,2,2,2,2,2,2,2,3,7,6,5,5,5,4,4,4,6,6,6
"Timor Leste",-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Togo,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,5,5,5,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4
Tonga,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,2,2,2,2
Tunisia,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,3,3,3,1,1,1
Turkey,3,2,2,2,2,2,2,2,5,5,4.5,4,3,3,3,2,2,3,2,2,2,4,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
Turkmenistan,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Tuvalu,-,-,-,-,-,-,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uganda,7,7,7,7,7,7,7,6,4,5,4.5,4,4,5,5,5,5,6,6,6,6,6,5,5,4,4,4,5,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6
Ukraine,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,3,3,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,3,3
"United Arab Emirates",7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"United Kingdom",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"United States",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uruguay,3,5,5,5,6,6,6,6,5,5,5,5,5,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Soviet Union",6,6,6,7,7,7,6,6,6,6,6,6,7,7,7,7,6,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uzbekistan,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Vanuatu,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Venezuela,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,4,3,3,3,3,3,4,4,4,4,5,5,5,5,5,5,5,6
Vietnam,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"North Vietnam",7,7,7,7,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"South Vietnam",4,4,4,7,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yemen,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,6,6,6,4,5,5,5,5,5,5,5,6,6,5,5,5,5,5,5,6,6,6,6,6,6,7,7
"North Yemen",4,5,5,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"South Yemen",7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yugoslavia,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,6,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Zambia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,2,2,3,3,3,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4
Zimbabwe,6,6,6,6,6,6,5,4,3,3,3.5,4,4,4,4,5,6,6,6,5,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,6,6,6,6,5,5,5,5
